turbine_id,inspection_type,proposed_hours,actual_hours,actual_date,total_fails
1,PS,0,0,12-Jul-99,0
1,CI,8000,10776,3-Oct-00,2
1,CI,16000,25080,14-Aug-03,5
1,MI,32000,35064,14-Aug-07,2
1,CI,32000,34824,4-Aug-11,8
1,MI,32000,33168,17-May-15,7
1,CI,32000,,,
1,MI,32000,,,
1,CI,32000,,,
1,MI,32000,,,
1,CI,32000,,,
1,MI,32000,,,
2,PS,0,0,12-Jul-99,0
2,CI,8000,10776,3-Oct-00,2
2,CI,32000,25080,14-Aug-03,5
2,MI,32000,35088,14-Aug-07,9
2,CI,32000,34848,4-Aug-11,5
2,MI,32000,32952,17-May-15,6
2,CI,32000,,,
2,MI,32000,,,
2,CI,32000,,,
2,MI,32000,,,
2,CI,32000,,,
2,MI,32000,,,
3,PS,0,0,12-Jul-99,0
3,CI,8000,8112,13-Jun-00,2
3,CI,16000,22704,14-Jan-03,5
3,MI,32000,20472,15-May-05,9
3,CI,32000,32928,14-Feb-09,5
3,MI,32000,37296,17-May-13,6
3,CI,32000,40632,3-Jan-18,8
3,MI,32000,,,
3,CI,32000,,,
3,MI,32000,,,
3,CI,32000,,,
3,MI,32000,,,
4,PS,0,0,12-Jul-99,0
4,CI,8000,15382,12-Apr-01,2
4,CI,32000,39048,24-Oct-05,4
4,MI,16000,26328,24-Sep-08,8
4,CI,32000,36072,4-Nov-12,5
4,MI,32000,43032,1-Oct-17,7
4,CI,32000,,,
4,MI,32000,,,
4,CI,32000,,,
4,MI,32000,,,
4,CI,32000,,,
5,PS,0,0,14-Feb-00,0
5,CI,8000,9912,1-Apr-01,1
5,HGPI,16000,15960,25-Jan-03,2
5,CI,16000,15552,2-Nov-04,2
5,MI,16000,14064,3-Jul-06,5
5,CI,24000,27792,2-Sep-09,6
5,HGPI,8000,9672,9-Oct-10,2
5,FLANGE TO FLANGE,8000,13512,23-Apr-12,1
5,EBI,24000,25944,8-Apr-15,3
5,HGPI,4000,6480,2-Jan-16,1
5,MI,32000,,,
5,CI,32000,,,
5,MI,32000,,,
5,CI,32000,,,
5,MI,32000,,,
5,CI,32000,,,
6,PS,0,0,14-Feb-00,0
6,CI,8000,10056,7-Apr-01,2
6,HGPI,16000,15888,28-Jan-03,2
6,CI,16000,15600,7-Nov-04,2
6,MI,16000,14496,3-Jul-06,5
6,CI,24000,27864,5-Sep-09,6
6,HGPI,8000,9600,9-Oct-10,2
6,FLANGE TO FLANGE,8000,14088,17-May-12,1
6,EBI,24000,25368,8-Apr-15,4
6,HGPI,4000,6480,2-Jan-16,1
6,MI,32000,,,
6,CI,32000,,,
6,MI,32000,,,
6,CI,32000,,,
6,MI,32000,,,
6,CI,32000,,,
